MiB_Mem_free MiB_Mem_used MiB_Mem_cache MiB_Swap_free MiB_Swap_used MiB_Swap_avail 1PID 1VIRT 1RES 1SHR 1%CPU 1%MEM 1TIME+ 1COMMAND 2PID 2VIRT 2RES 2SHR 2%CPU 2%MEM 2TIME+ 2COMMAND 3PID 3VIRT 3RES 3SHR 3%CPU 3%MEM 3TIME+ 3COMMAND 4PID 4VIRT 4RES 4SHR 4%CPU 4%MEM 4TIME+ 4COMMAND 5PID 5VIRT 5RES 5SHR 5%CPU 5%MEM 5TIME+ 5COMMAND
1182.3 310.9 324.2 820.0 0.0 1334.9 2526 249708 30076 2860 52.9 1.6 0:00.28 mem2.bash 2526 257760 38260 2860 43.8 2.1 0:00.36 mem2.bash 1 186384 14404 9704 0.0 0.8 0:00.84 systemd 1 186384 14404 9704 0.0 0.8 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
1072.9 420.2 324.2 820.0 0.0 1227.2 2525 300924 81320 2892 60.0 4.4 0:00.90 mem.bash 2526 310296 90796 2860 41.2 4.9 0:00.97 mem2.bash 2155 813644 74852 34832 5.9 4.0 0:01.29 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 
973.6 519.4 324.2 820.0 0.0 1131.0 2525 350028 130424 2892 41.2 7.0 0:01.48 mem.bash 2526 357156 137524 2860 38.9 7.4 0:01.58 mem2.bash 2155 813644 75324 34832 6.2 4.0 0:01.30 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
874.2 618.9 324.2 820.0 0.0 1027.7 2526 401772 182404 2860 42.1 9.8 0:02.11 mem2.bash 2526 409164 189532 2860 37.5 10.2 0:02.19 mem2.bash 1 186384 14404 9704 0.0 0.8 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 
770.2 722.9 324.2 820.0 0.0 924.5 2526 455232 235732 2860 47.1 12.7 0:02.75 mem2.bash 2526 462228 242860 2860 40.0 13.1 0:02.82 mem2.bash 1 186384 14404 9704 0.0 0.8 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
667.2 825.8 324.3 820.0 0.0 821.7 2525 504468 284864 2892 44.4 15.3 0:03.38 mem.bash 2525 510540 290936 2892 37.5 15.6 0:03.45 mem.bash 10 0 0 0 6.2 0.0 0:00.04 ksoftirqd/0 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 
568.5 924.6 324.3 820.0 0.0 724.1 2525 553308 333704 2892 46.7 17.9 0:03.97 mem.bash 2526 565188 345556 2860 40.0 18.6 0:04.04 mem2.bash 1 186384 14404 9704 0.0 0.8 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
474.9 1018.1 324.3 820.0 0.0 630.8 2525 602148 382544 2892 56.2 20.6 0:04.58 mem.bash 2526 614952 395452 2860 41.2 21.3 0:04.67 mem2.bash 1 186384 14404 9704 0.0 0.8 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
374.4 1118.7 324.3 820.0 0.0 528.9 2525 650988 431384 2892 41.2 23.2 0:05.19 mem.bash 2526 669204 449572 2860 38.9 24.2 0:05.28 mem2.bash 1 186384 14404 9704 0.0 0.8 0:00.84 systemd 1 186384 14404 9704 0.0 0.8 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
273.1 1220.0 324.3 820.0 0.0 430.5 2525 701016 481544 2892 50.0 25.9 0:05.79 mem.bash 2526 720552 501052 2860 43.8 26.9 0:05.88 mem2.bash 1 186384 14404 9704 0.0 0.8 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
